Panel	#	Xpix	Ypix
1221	1	1726.074111755652	1047.481594966048
1222	2	1732.421728509177	1015.5699705801723
1223	3	1744.8730266641735	985.5098777052286
1224	4	1762.9495098153134	958.456508852507
1225	5	1785.9565088525069	935.4495098153134
1226	6	1813.0098777052285	917.3730266641735
1227	7	1843.0699705801721	904.921728509177
1228	8	1874.981594966048	898.574111755652
1321	9	1907.518405033952	898.574111755652
1322	10	1939.4300294198279	904.921728509177
1323	11	1969.4901222947715	917.3730266641735
1324	12	1996.5434911474931	935.4495098153134
1325	13	2019.5504901846866	958.4565088525069
1326	14	2037.6269733358265	985.5098777052285
1327	15	2050.078271490823	1015.5699705801723
1328	16	2056.4258882443482	1047.481594966048
1421	17	2056.4258882443482	1080.018405033952
1422	18	2050.078271490823	1111.9300294198276
1423	19	2037.6269733358265	1141.9901222947715
1424	20	2019.5504901846866	1169.0434911474931
1425	21	1996.5434911474931	1192.0504901846866
1426	22	1969.4901222947715	1210.1269733358265
1427	23	1939.4300294198279	1222.578271490823
1428	24	1907.518405033952	1228.925888244348
1121	25	1874.981594966048	1228.925888244348
1122	26	1843.0699705801721	1222.578271490823
1123	27	1813.0098777052285	1210.1269733358265
1124	28	1785.9565088525069	1192.0504901846866
1125	29	1762.9495098153134	1169.0434911474931
1126	30	1744.8730266641735	1141.9901222947715
1127	31	1732.421728509177	1111.9300294198279
1128	32	1726.074111755652	1080.018405033952
1211	1	1809.8570306719312	1047.559931782894
1212	2	1822.2483724230253	1017.6445864714024
1213	3	1845.1445864714024	994.7483724230253
1214	4	1875.059931782894	982.357030671931
1311	5	1907.440068217106	982.357030671931
1312	6	1937.3554135285976	994.7483724230253
1313	7	1960.2516275769747	1017.6445864714024
1314	8	1972.6429693280688	1047.559931782894
1411	9	1972.6429693280688	1079.940068217106
1412	10	1960.2516275769747	1109.8554135285976
1413	11	1937.3554135285976	1132.7516275769747
1414	12	1907.440068217106	1145.1429693280688
1111	13	1875.059931782894	1145.1429693280688
1112	14	1845.1445864714024	1132.7516275769747
1113	15	1822.2483724230253	1109.8554135285976
1114	16	1809.8570306719312	1079.940068217106
